file,path,label_id,n_tokens,tokenization_json
AA_240.xml,D:\BackUpDrive\Programacion\Python\TransFolk\data\ataa\profano_clean\AA_240.xml,1,136,D:\BackUpDrive\Programacion\Python\TransFolk\data\ataa\tokenization\momet_ataa_20260427_140847_356497.json
AA_241.xml,D:\BackUpDrive\Programacion\Python\TransFolk\data\ataa\profano_clean\AA_241.xml,1,140,D:\BackUpDrive\Programacion\Python\TransFolk\data\ataa\tokenization\momet_ataa_20260427_140847_356497.json
AA_242.xml,D:\BackUpDrive\Programacion\Python\TransFolk\data\ataa\profano_clean\AA_242.xml,1,188,D:\BackUpDrive\Programacion\Python\TransFolk\data\ataa\tokenization\momet_ataa_20260427_140847_356497.json
AA_246.xml,D:\BackUpDrive\Programacion\Python\TransFolk\data\ataa\profano_clean\AA_246.xml,1,115,D:\BackUpDrive\Programacion\Python\TransFolk\data\ataa\tokenization\momet_ataa_20260427_140847_356497.json
AA_247.xml,D:\BackUpDrive\Programacion\Python\TransFolk\data\ataa\profano_clean\AA_247.xml,1,166,D:\BackUpDrive\Programacion\Python\TransFolk\data\ataa\tokenization\momet_ataa_20260427_140847_356497.json
AA_249.xml,D:\BackUpDrive\Programacion\Python\TransFolk\data\ataa\profano_clean\AA_249.xml,1,260,D:\BackUpDrive\Programacion\Python\TransFolk\data\ataa\tokenization\momet_ataa_20260427_140847_356497.json
AA_250.xml,D:\BackUpDrive\Programacion\Python\TransFolk\data\ataa\profano_clean\AA_250.xml,1,104,D:\BackUpDrive\Programacion\Python\TransFolk\data\ataa\tokenization\momet_ataa_20260427_140847_356497.json
AA_252.xml,D:\BackUpDrive\Programacion\Python\TransFolk\data\ataa\profano_clean\AA_252.xml,1,225,D:\BackUpDrive\Programacion\Python\TransFolk\data\ataa\tokenization\momet_ataa_20260427_140847_356497.json
AA_253.xml,D:\BackUpDrive\Programacion\Python\TransFolk\data\ataa\profano_clean\AA_253.xml,1,193,D:\BackUpDrive\Programacion\Python\TransFolk\data\ataa\tokenization\momet_ataa_20260427_140847_356497.json
AA_254.xml,D:\BackUpDrive\Programacion\Python\TransFolk\data\ataa\profano_clean\AA_254.xml,1,131,D:\BackUpDrive\Programacion\Python\TransFolk\data\ataa\tokenization\momet_ataa_20260427_140847_356497.json
AA_255.xml,D:\BackUpDrive\Programacion\Python\TransFolk\data\ataa\profano_clean\AA_255.xml,1,166,D:\BackUpDrive\Programacion\Python\TransFolk\data\ataa\tokenization\momet_ataa_20260427_140847_356497.json
AA_257.xml,D:\BackUpDrive\Programacion\Python\TransFolk\data\ataa\profano_clean\AA_257.xml,1,163,D:\BackUpDrive\Programacion\Python\TransFolk\data\ataa\tokenization\momet_ataa_20260427_140847_356497.json
AA_258.xml,D:\BackUpDrive\Programacion\Python\TransFolk\data\ataa\profano_clean\AA_258.xml,1,158,D:\BackUpDrive\Programacion\Python\TransFolk\data\ataa\tokenization\momet_ataa_20260427_140847_356497.json
AA_259.xml,D:\BackUpDrive\Programacion\Python\TransFolk\data\ataa\profano_clean\AA_259.xml,1,160,D:\BackUpDrive\Programacion\Python\TransFolk\data\ataa\tokenization\momet_ataa_20260427_140847_356497.json
AA_261.xml,D:\BackUpDrive\Programacion\Python\TransFolk\data\ataa\profano_clean\AA_261.xml,1,117,D:\BackUpDrive\Programacion\Python\TransFolk\data\ataa\tokenization\momet_ataa_20260427_140847_356497.json
AA_262.xml,D:\BackUpDrive\Programacion\Python\TransFolk\data\ataa\profano_clean\AA_262.xml,1,117,D:\BackUpDrive\Programacion\Python\TransFolk\data\ataa\tokenization\momet_ataa_20260427_140847_356497.json
AA_263.xml,D:\BackUpDrive\Programacion\Python\TransFolk\data\ataa\profano_clean\AA_263.xml,1,191,D:\BackUpDrive\Programacion\Python\TransFolk\data\ataa\tokenization\momet_ataa_20260427_140847_356497.json
AA_264.xml,D:\BackUpDrive\Programacion\Python\TransFolk\data\ataa\profano_clean\AA_264.xml,1,264,D:\BackUpDrive\Programacion\Python\TransFolk\data\ataa\tokenization\momet_ataa_20260427_140847_356497.json
AA_265.xml,D:\BackUpDrive\Programacion\Python\TransFolk\data\ataa\profano_clean\AA_265.xml,1,231,D:\BackUpDrive\Programacion\Python\TransFolk\data\ataa\tokenization\momet_ataa_20260427_140847_356497.json
AA_266.xml,D:\BackUpDrive\Programacion\Python\TransFolk\data\ataa\profano_clean\AA_266.xml,1,241,D:\BackUpDrive\Programacion\Python\TransFolk\data\ataa\tokenization\momet_ataa_20260427_140847_356497.json
