epoch,train_loss,train_balanced_accuracy,val_loss,val_balanced_accuracy
1,0.6538624710896436,0.5897457343593175,0.6434875925381979,0.5873189995612111
2,0.5200805602704778,0.7373424779747966,0.6028711994489034,0.6985519964896885
3,0.48773538102121916,0.7835117653618824,0.5700180729230245,0.7937691970162353
4,0.4300913065671921,0.8142494702799152,0.5407147308190664,0.7290478279947346
5,0.40116966033683105,0.826460912233746,0.5179434319337209,0.7538394032470381
6,0.43335705294328575,0.8306429129028661,0.5446379830439886,0.7014041246160596
7,0.3441612464101875,0.865702018512323,0.48998379707336426,0.7566915313734094
8,0.30889540231403184,0.8711525593844095,0.469306359688441,0.7827994734532691
9,0.29312915990457816,0.890947362551578,0.5630784084399542,0.7064501974550241
10,0.3070951271802187,0.8639176982268317,0.49174989263216656,0.7806055287406757
11,0.25876371737788706,0.9062534850005577,0.5277153054873148,0.7538394032470381
12,0.2636638914837557,0.9032006245120999,0.4704073518514633,0.7406757349714788
13,0.2713468449518961,0.8946554031448646,0.5218319594860077,0.7749012724879333
14,0.18833206939127514,0.9246961079513774,0.5077305088440577,0.7705133830627469
15,0.15533918032751365,0.9304533288725326,0.5120543837547302,0.7312417727073278
