epoch,train_loss,train_balanced_accuracy,val_loss,val_balanced_accuracy
1,0.6345977555303013,0.6124679379948701,0.5858828326066335,0.7299254058797718
2,0.559700080577065,0.7237370357979258,0.587795247634252,0.7343132953049583
3,0.548632917158744,0.7504600200736031,0.5670494039853414,0.7604212373848178
4,0.4513975500183947,0.779106724657076,0.4716962973276774,0.77270732777534
5,0.4405389568384956,0.8006022080963533,0.4691444883743922,0.7981570864414216
6,0.4100488419918453,0.8173023307683729,0.4906812409559886,0.7902588854760859
7,0.4056561181650442,0.8176508308241329,0.431736300388972,0.7893813075910487
8,0.3712131442392574,0.8575471172075387,0.4173808346192042,0.8446687143483984
9,0.3557960393235964,0.8353964536634326,0.40765239546696347,0.8424747696358053
10,0.3126659965252175,0.8922995427679268,0.3956392655769984,0.8758227292672225
11,0.3086048513650894,0.876603100256496,0.4145779212315877,0.8141728828433523
12,0.3019060930785011,0.8728532396565183,0.41262001792589825,0.8352347520842475
13,0.25417180074488416,0.8953524032563845,0.32784342517455417,0.8946906537955244
14,0.23517426831976457,0.8997574439611911,0.36763302485148114,0.8751645458534445
15,0.22439909375765743,0.9096548455447753,0.31920644889275235,0.871434839842036
16,0.21551699761082144,0.9314570090331215,0.3927813991904259,0.8446687143483984
17,0.21382079415899866,0.9205977472956396,0.3553505515058835,0.8547608600263273
18,0.18534161169629762,0.9304533288725326,0.3680565518637498,0.880210618692409
19,0.2045210825608057,0.9352486896397904,0.4100494558612506,0.870776656428258
20,0.20124603035476277,0.9250446080071373,0.33083976929386455,0.871434839842036
21,0.15712638207546928,0.9406574105051857,0.3625156655907631,0.8519087318999561
22,0.15372752805021317,0.9458012713282035,0.4530731911460559,0.7887231241772708
23,0.14310119817416897,0.9577478532396565,0.4176361734668414,0.8365511189118034
24,0.12053251619834233,0.9543046726887476,0.36842073996861774,0.8547608600263273
25,0.0834609636804089,0.9669064347050296,0.39924156665802,0.8641948222904783
